Country,Year,New_cases,New_deaths,Country Code,GDP_Growth,Unemployment_Rate
Afghanistan,2020,52330.0,2189.0,AFG,-2.351100672,11.71
Afghanistan,2021,105729.0,5167.0,AFG,-20.73883937,11.994
Afghanistan,2022,49495.0,493.0,AFG,-6.240171992,14.1
Albania,2020,57146.0,1170.0,ALB,-3.313716147,11.69
Albania,2021,151753.0,2042.0,ALB,8.969553392,11.474
Albania,2022,123869.0,384.0,ALB,4.826688314,10.137
Algeria,2020,99311.0,2751.0,DZA,-5.0,14.057
Algeria,2021,118726.0,3520.0,DZA,3.8,13.63
Algeria,2022,53180.0,610.0,DZA,3.6,12.346
Angola,2020,17433.0,405.0,AGO,-5.638214717,16.69
Angola,2021,59354.0,1352.0,AGO,1.199210521,15.799
Angola,2022,28308.0,173.0,AGO,3.044726524,14.602
Argentina,2020,1674319.0,48271.0,ARG,-9.900484814,11.461
Argentina,2021,4106203.0,69905.0,ARG,10.44181199,8.736
Argentina,2022,4110617.0,11948.0,ARG,5.269879674,6.805
Armenia,2020,159409.0,2823.0,ARM,-7.199999999,18.175
Armenia,2021,185521.0,5149.0,ARM,5.800000001,15.469
Armenia,2022,100690.0,738.0,ARM,12.6,13.379
Australia,2020,28381.0,920.0,AUS,-0.119590736,6.456
Australia,2021,338226.0,1523.0,AUS,2.111168148,5.116
Australia,2022,10418952.0,16467.0,AUS,4.242385553,3.728
Austria,2020,352657.0,7379.0,AUT,-6.318255287,5.201
Austria,2021,911872.0,9318.0,AUT,4.795329106,6.459
Austria,2022,4436317.0,4937.0,AUT,5.277894212,4.992
Azerbaijan,2020,216584.0,2575.0,AZE,-4.300000102,7.24
Azerbaijan,2021,399768.0,5771.0,AZE,5.616451029,6.04
Azerbaijan,2022,209959.0,1662.0,AZE,4.714802365,5.65
"Bahamas, The",2020,7857.0,170.0,BHS,-21.42346307,12.027
"Bahamas, The",2021,16619.0,547.0,BHS,15.40314894,11.032
"Bahamas, The",2022,13015.0,116.0,BHS,10.7820132,9.272
Bahrain,2020,92425.0,352.0,BHR,-5.911362952,1.781
Bahrain,2021,188981.0,1042.0,BHR,4.350040917,1.541
Bahrain,2022,415208.0,142.0,BHR,5.981302822,1.326
Bangladesh,2020,513510.0,7559.0,BGD,3.448017551,5.436
Bangladesh,2021,1072029.0,20513.0,BGD,6.938679124,5.327
Bangladesh,2022,451586.0,1368.0,BGD,7.099828776,4.593
Barbados,2020,372.0,7.0,BRB,-15.05436295,9.777
Barbados,2021,27938.0,253.0,BRB,-0.25496588,9.433
Barbados,2022,77205.0,308.0,BRB,17.83286303,8.365
Belarus,2020,192361.0,1414.0,BLR,-0.672742951,4.049
Belarus,2021,505239.0,4147.0,BLR,2.438862124,3.9
Belarus,2022,296437.0,1557.0,BLR,-4.658395916,3.574
Belgium,2020,645277.0,19638.0,BEL,-4.792983897,5.545
Belgium,2021,1451435.0,8679.0,BEL,6.202554016,6.248
Belgium,2022,2588192.0,5002.0,BEL,4.233431834,5.57
Belize,2020,10668.0,241.0,BLZ,-13.90291006,10.784
Belize,2021,21399.0,356.0,BLZ,17.74617012,10.322
Belize,2022,37879.0,91.0,BLZ,9.652977724,8.763
Benin,2020,3251.0,44.0,BEN,3.8487924,1.502
Benin,2021,21793.0,117.0,BEN,7.155451646,1.779
Benin,2022,2942.0,2.0,BEN,6.253244914,1.685
Bhutan,2020,670.0,0.0,BTN,-10.21839741,5.03
Bhutan,2021,1990.0,3.0,BTN,4.421367402,4.803
Bhutan,2022,59871.0,18.0,BTN,5.213867811,5.947
Bolivia,2020,156887.0,9135.0,BOL,-8.737884434,7.903
Bolivia,2021,434886.0,10515.0,BOL,6.111372752,5.089
Bolivia,2022,564384.0,2641.0,BOL,3.605680383,3.552
Bosnia and Herzegovina,2020,110985.0,4050.0,BIH,-3.015095148,15.868
Bosnia and Herzegovina,2021,179486.0,9378.0,BIH,7.38996234,14.897
Bosnia and Herzegovina,2022,110622.0,2806.0,BIH,4.226811011,12.657
Botswana,2020,14637.0,43.0,BWA,-8.728752526,21.017
Botswana,2021,207416.0,2409.0,BWA,11.92063651,23.106
