Country,Total_Cases_2020_2022,Total_Deaths_2020_2022,Avg_GDP_Growth,Max_Unemployment_Rate
Afghanistan,207554.0,7849.0,-9.776704011333335,14.1
Albania,332768.0,3596.0,3.494175186333333,11.69
Algeria,271217.0,6881.0,0.7999999999999999,14.057
Angola,105095.0,1930.0,-0.4647592240000001,16.69
Argentina,9891139.0,130124.0,1.9370689499999998,11.461
Armenia,445620.0,8710.0,3.7333333339999997,18.175
Australia,10785559.0,18910.0,2.077987655,6.456
Austria,5700846.0,21634.0,1.251656010333333,6.459
Azerbaijan,826311.0,10008.0,2.010417764,7.24
"Bahamas, The",37491.0,833.0,1.587233023333333,12.027
Bahrain,696614.0,1536.0,1.473326929,1.781
Bangladesh,2037125.0,29440.0,5.828841817,5.436
Barbados,105515.0,568.0,0.8411780666666662,9.777
Belarus,994037.0,7118.0,-0.9640922476666667,4.049
Belgium,4684904.0,33319.0,1.881000651,6.248
Belize,69946.0,688.0,4.498745927999999,10.784
Benin,27986.0,163.0,5.75249632,1.779
Bhutan,62531.0,21.0,-0.19438739900000002,5.947
Bolivia,1156157.0,22291.0,0.32638956700000027,7.903
Bosnia and Herzegovina,401093.0,16234.0,2.867226067666666,15.868
Botswana,328031.0,2786.0,2.8926373873333335,23.615
Brazil,36302415.0,693734.0,1.5008466456666667,13.697
Brunei Darussalam,270199.0,148.0,-0.6951735383333334,7.409
Bulgaria,1280617.0,38036.0,2.8678849876666668,5.267
Burkina Faso,22023.0,395.0,3.483512430333333,5.389
Burundi,52162.0,15.0,1.7587187770000001,1.118
Cabo Verde,63200.0,412.0,0.6906432956666665,14.69
Cambodia,138578.0,3056.0,1.5458299313333335,0.396
Cameroon,123993.0,1965.0,2.445191464666667,3.973
Canada,4492780.0,48771.0,1.3561965963333333,9.657
Central African Republic,15360.0,113.0,0.7950099986666667,6.375
Chad,7650.0,194.0,0.011715668999999984,1.707
Chile,5032352.0,63149.0,2.416407453,10.934
China,84925042.0,52544.0,4.5459259009999995,5.0
Colombia,6345115.0,142179.0,3.634722646333333,15.983
Comoros,8985.0,160.0,1.4692051603333336,4.471
"Congo, Dem. Rep.",95172.0,1462.0,5.620008134666667,5.345
"Congo, Rep.",25063.0,386.0,-1.2591152593333332,22.198
Costa Rica,1166842.0,9085.0,2.737966568333333,16.432
Cote d'Ivoire,87941.0,831.0,4.660302869333333,2.63
Croatia,1263517.0,17583.0,3.869331394333333,7.608
Cuba,1111972.0,8530.0,-2.6401790600000004,2.24
Cyprus,631111.0,1258.0,5.177583849333334,7.755
Denmark,3388439.0,7782.0,2.3807111363333333,5.637
Djibouti,15690.0,189.0,3.189095819333333,27.713
Dominican Republic,659009.0,4384.0,3.4700249643333336,7.702
Ecuador,1044749.0,35948.0,2.2531534813333334,6.127
"Egypt, Arab Rep.",515533.0,24802.0,4.476218819666667,7.974
El Salvador,201785.0,4230.0,2.2704041696666666,5.008
Equatorial Guinea,17089.0,183.0,-0.23576752033333323,8.976
Estonia,594217.0,2727.0,1.4436884246666668,6.956
Eswatini,74021.0,1422.0,0.14821878766666655,35.359
Ethiopia,497974.0,7572.0,5.674079295666666,3.994
Fiji,68750.0,881.0,-0.7089922986666674,4.701
Finland,1457455.0,8764.0,0.5645751163333333,7.759
France,37989547.0,161667.0,0.670844136666667,8.009
French Polynesia,77957.0,649.0,-0.1633756986666667,12.951
Gabon,48980.0,306.0,0.8892702486666667,21.27
"Gambia, The",12586.0,372.0,3.7801514353333334,6.269
Georgia,1809827.0,16903.0,5.104098005,11.791
Germany,37241936.0,165738.0,0.31486447533333334,3.881
Ghana,171048.0,1461.0,3.1359709089999996,3.384
Greece,5023163.0,34976.0,1.7339718573333334,15.899
Guam,50002.0,411.0,-1.1202706836666667,6.248
Guatemala,1201651.0,19998.0,3.4826238863333336,3.051
