Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.000861003,-9.900484814,10.44181199,5.269879674
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.171545057,-0.119590736,2.111168148,4.242385553
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,1.220777824,-3.276758796,4.762604379,3.016694354
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,5.950500754,2.238638356,8.448469417,2.95066993
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,2.027446476,-7.44064593,6.882337866,2.570840474
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,0.987893349,-4.095137491,3.669999862,1.369731055
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,3.871436941,-5.777724707,9.689592492,6.987039326
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,5.01928768,-2.065511829,3.702885628,5.307419348
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,0.429162534,-8.86822121,8.931062066,4.661762651
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,-0.402169201,-4.147118899,2.559320239,0.954736938
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Rep.",KOR,2.24397786,-0.709415359,4.304734819,2.612672192
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,-0.392690522,-8.354034557,6.048483443,3.689111093
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Netherlands,NLD,2.300091595,-3.867953393,6.276830732,5.00723459
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,2.198075713,-2.653654501,5.614290376,-2.069711525
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Saudi Arabia,SAU,1.09773375,-3.581534863,5.07511035,7.485984291
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Spain,ESP,1.961178532,-10.94007066,6.683144185,6.179312226
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Switzerland,CHE,1.141982325,-2.141737207,5.391888041,2.568328178
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkiye,TUR,0.818514527,1.85987304,11.43939569,5.533427875
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,1.624475159,-10.29691887,8.575950905,4.839085147
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,2.58382533,-2.163029139,6.055052933,2.51237532
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,3.911603416,-2.351100672,-20.73883937,-6.240171992
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,2.06256754,-3.313716147,8.969553392,4.826688314
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,0.9,-5,3.8,3.6
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,-0.487804878,4.411764706,-0.782472613,1.735015773
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,2.015547638,-11.18393994,8.28677879,9.564612256
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,-0.702272958,-5.638214717,1.199210521,3.044726524
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,3.10044515,-18.8803992,8.191718462,9.516395644
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,7.599999999,-7.199999999,5.800000001,12.6
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,-2.232440392,-26.21182078,24.13262736,8.517918105
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,1.754976456,-6.318255287,4.795329106,5.277894212
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,2.500000067,-4.300000102,5.616451029,4.714802365
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,-1.357265209,-21.42346307,15.40314894,10.7820132
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,2.052877744,-5.911362952,4.350040917,5.981302822
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,7.881915151,3.448017551,6.938679124,7.099828776
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,0.652585418,-15.05436295,-0.25496588,17.83286303
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,1.446455477,-0.672742951,2.438862124,-4.658395916
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,2.442890066,-4.792983897,6.202554016,4.233431834
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,4.267636896,-13.90291006,17.74617012,9.652977724
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,6.865686628,3.8487924,7.155451646,6.253244914
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,0.306266735,-6.842869643,5.41909484,6.431133996
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,5.755148506,-10.21839741,4.421367402,5.213867811
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,2.216705778,-8.737884434,6.111372752,3.605680383
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,2.887343344,-3.015095148,7.38996234,4.226811011
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,3.032202574,-8.728752526,11.92063651,5.486028178
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,null,null,null,null
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,3.868844164,1.133573406,-1.590762481,-1.62833154
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,3.788850365,-3.215737434,7.780614814,4.038777583
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,5.889204971,2.010772624,6.942524926,1.497239741
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,1.812565324,0.327156893,3.099999999,1.848999439
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,6.947826341,-20.8052759,7.033530107,15.84367568
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,7.936950136,-3.555721934,3.089842841,5.103368887
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,3.475059982,0.259932916,3.338857472,3.736784006
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,1.908431925,-5.038233441,5.286956891,3.819866339
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,3.915635342,-4.954806408,4.904929413,5.156329542
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,3.1,0.899999997,0.982919996,0.502110003
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,3.247181917,-1.600006737,-1.169187004,2.804340748
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,1.573355158,-8.896779523,9.936801364,5.341961831
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,0.634367534,-6.143474792,11.33395707,2.058740081
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,3.186855392,-7.185914138,10.80119819,7.288883887
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,1.760780239,-0.195556827,2.000161989,2.603010319
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",COD,4.384528874,1.735422767,6.200154011,8.924447626
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,1.12447392,-6.26777228,1.01507037,1.475356132
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,2.417511818,-4.273354322,7.935762247,4.55149178
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,6.721371676,0.699728593,7.063329102,6.217850913
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,3.100439114,-8.311642579,12.63170033,7.287936432
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,-0.163087224,-10.9490846,1.253693425,1.774853995
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,-3.206132196,-18.43847035,4.183711931,6.906
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,5.87559123,-3.220634336,11.38776336,7.365622524
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czechia,CZE,3.565776572,-5.304879546,4.029018306,2.847170657
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,1.711400944,-1.780105988,7.38206629,1.540173107
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,5.5451306,1.316363242,4.522347746,3.72857647
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,5.502483437,-16.60410952,6.890549417,5.583546263
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,5.05216802,-6.720239373,12.27199023,4.858324036
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,0.165403533,-9.245096377,9.818417748,6.186139073
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,5.552093072,3.550164838,3.290646012,6.587845609
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,2.437471591,-7.89310136,11.9047617,2.799552169
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,-5.481825379,-4.791080834,0.860269956,3.223508317
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,null,null,null,null
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,3.726653182,-2.883810041,7.154447483,0.060427832
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eswatini,SWZ,4.962121425,-2.88706296,3.399338581,-0.067619258
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ethiopia,ETH,8.364085699,6.059530886,5.641530717,5.321176284
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Faroe Islands,FRO,4.538510287,-1.63732118,5.504380173,3.556023804
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Fiji,FJI,-0.581946371,-17.03866753,-4.881036056,19.79272669
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,1.349738438,-2.49103621,2.734713486,1.450048073
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,2.699934499,-7.050990654,2.094788968,4.46607459
